,Name,Essentiality,YES0,YES1,YES2,YES3,YES4,YES0_pvalue,YES1_pvalue,YES2_pvalue,YES3_pvalue,YES4_pvalue
SPAC1002.02,pom34,V,0.1437079741155008,0.127475824818488,-0.1231098679475836,0.0206241331195934,-0.2499660094787469,0.9999989541053904,0.9999996823099998,0.9999978662965636,0.9999970670790036,0.9999991404186296
SPAC1002.03c,gls2,V,-0.2077133928543971,0.10816879753949715,-0.1270309445637491,0.22934661597010064,0.34846448116306206,1.0,1.0,1.0,1.0,1.0
SPAC1002.04c,taf11,E,0.49477720690760274,0.8928470754100565,2.3256789025050195,5.22573906872347,6.761897996995904,1.0,1.0,1.0,1.0,1.0
SPAC1002.05c,jmj2,V,-0.08683838085161151,0.012093265459019105,-0.09974995961541086,-0.14279050066083315,-0.15272333740067665,1.0,1.0,1.0,1.0,1.0
SPAC1002.06c,bqt2,V,-0.06454965606449362,-0.130535919930512,-0.16360931637108977,-0.15596037133355306,-0.036280740196048655,1.0,1.0,1.0,1.0,1.0
SPAC1002.07c,SPAC1002.07c,V,-0.26496332110584836,-0.17760927271711277,-0.10283168489924138,-0.303517775818645,-0.12156842953110568,1.0,1.0,1.0,1.0,1.0
SPAC1002.08c,mtf1,E,-0.11533547913234139,0.07598606964590393,0.5817893943547667,2.8729190899213988,4.596705330830247,1.0,1.0,1.0,1.0,0.6666666666666666
SPAC1002.09c,dld1,E,-0.038602416009772274,0.09551632403138383,0.8305719372509385,2.981245633276737,4.552428762816094,1.0,1.0,1.0,0.029970029970029972,0.07992007992007992
SPAC1002.10c,sgt1,E,0.11359789850963446,2.2906115329848467,5.1017536708043565,5.792780754802241,6.625039553495601,1.0,0.04995004995004995,0.001998001998001998,0.001998001998001998,0.001998001998001998
SPAC1002.11,gaa1,E,0.24091558339414607,1.4889546410165602,4.054323075494866,5.334965727888765,6.11513730514083,1.0,1.0,0.4166666666666667,0.9166666666666666,0.8333333333333334
SPAC1002.12c,SPAC1002.12c,V,-0.04180299480035739,0.011408549561025619,-0.0705597916541287,0.003675673290587704,0.008750985372955863,1.0,1.0,1.0,1.0,1.0
SPAC1002.13c,psu1,E,0.016561662937077636,0.26918613414118314,2.423235494065583,5.176618662534291,5.6260138181508985,1.0,1.0,0.3333333333333333,1.0,1.0
SPAC1002.14,itt1,V,-0.21904842300546376,-0.03275045988795395,-0.04629928894721449,-0.16126220094522517,-0.23691943920094946,1.0,1.0,1.0,1.0,1.0
SPAC1002.15c,med6,V,-0.0713444634189647,0.21108235544681161,0.23595739961253256,0.5099391500947448,1.3977559874543029,1.0,1.0,1.0,1.0,0.35364635364635366
SPAC1002.16c,tna1,E,-0.02935912135030914,-0.0036648981115980223,-0.047664665783934614,-0.03369757764058621,0.047024483614439845,1.0,1.0,1.0,1.0,1.0
SPAC1002.17c,urg2,V,0.09836024813123635,-0.12251489545854174,0.3204162156916706,0.008862263280062531,0.2281442023746118,1.0,1.0,1.0,1.0,1.0
SPAC1002.18,urg3,V,-0.12230412021289574,-0.027413872165737402,-0.04841980267857275,0.03007611532552425,-0.0011340018560841506,1.0,1.0,1.0,1.0,1.0
SPAC1002.19,urg1,V,-0.06705306156023652,-0.09980238132684753,-0.13665512523523976,-0.07946442373037405,-0.09847828369769633,1.0,1.0,1.0,1.0,1.0
SPAC1002.20,SPAC1002.20,V,-0.2229207920624047,-0.08857785357819356,-0.20341218562633803,-0.26155585934321635,-0.16685596636898306,1.0,1.0,1.0,1.0,1.0
SPAC1006.01,psp3,V,0.02764252123433495,0.4419817740168481,0.6978701247992668,0.5424177646532725,0.5870302698284497,1.0,1.0,1.0,1.0,1.0
SPAC1006.03c,red1,V,0.12206679237780645,0.08962761824812777,0.3850265017745932,0.46399897256742834,0.739315801365843,1.0,1.0,0.3836163836163836,0.6853146853146853,0.7152847152847153
SPAC1006.04c,mcp3,V,0.13923385831183924,0.1348488834319252,-0.055270373175832076,0.044587263344821354,0.11143163675614634,1.0,1.0,1.0,1.0,1.0
SPAC1006.05c,och1,V,0.2866473295365928,0.7061502348979375,5.231481253566809,4.859929894038744,5.998000966848214,1.0,1.0,1.0,1.0,1.0
SPAC1006.06,rgf2,V,0.011808299813996656,-0.025264765265140283,-0.18177568956188384,-0.5071262494713965,-0.19253652097875662,1.0,1.0,1.0,0.5014985014985015,1.0
SPAC1006.07,tif1,E,0.4735802763021253,5.367867254061357,5.263461863975226,3.935672156859297,5.7894172668081625,1.0,1.0,1.0,1.0,1.0
SPAC1006.08,etd1,E,0.06861124952560405,1.3540705223518672,4.986157228246088,5.823748755087501,6.821759885612532,1.0,1.0,0.08391608391608392,0.025974025974025976,0.001998001998001998
SPAC1006.09,win1,V,0.013507419224608918,0.05681925498496914,0.15978044614987308,0.2846006377262533,0.35972197597263916,1.0,1.0,1.0,1.0,1.0
SPAC1039.01,SPAC1039.01,V,0.08344867850537087,-0.08495930211388925,-0.02520836580716038,-0.027474663516266703,-0.0631647508556366,1.0,1.0,1.0,1.0,1.0
SPAC1039.02,SPAC1039.02,V,-0.0480386032582922,-0.149704449389253,-0.0816173001116651,-0.04542188863740997,0.0008678362505261801,1.0,1.0,1.0,1.0,1.0
SPAC1039.03,SPAC1039.03,V,-0.13150389693968462,0.2722844419421272,0.44686479304611254,0.05874474055643199,-0.12043438939397727,1.0,1.0,1.0,1.0,1.0
SPAC1039.04,SPAC1039.04,V,-0.06615476472678533,-0.013424778246330671,-0.030488316250851383,-0.16694257813321173,-0.057577335732965515,1.0,1.0,1.0,1.0,1.0
SPAC1039.05c,klf1,V,-0.00977654463673826,-0.04305728329511042,0.05007738019278158,-0.035028842608887015,0.00047703670071136243,1.0,1.0,1.0,1.0,1.0
SPAC1039.06,SPAC1039.06,V,0.05562414532819368,0.030266466984965455,-0.0493392039176149,-0.006939234463273474,0.0945109645098221,1.0,1.0,1.0,1.0,1.0
SPAC1039.07c,SPAC1039.07c,V,-0.2823210621803875,-0.2606144192588108,-0.1184852197557064,-0.34899429399364557,-0.17119212372082354,1.0,1.0,1.0,1.0,1.0
SPAC1039.08,SPAC1039.08,V,0.1375509599334892,0.1914556610634502,-0.055223917903633096,-0.16432607347065464,0.075280109323583,1.0,1.0,1.0,1.0,1.0
SPAC1039.09,isp5,V,-0.15666416836295904,-0.2720634642969163,-0.23879523366311023,-0.2802856822112548,-0.227562393179526,1.0,1.0,1.0,1.0,1.0
SPAC1039.10,mmf2,V,0.0659882371142468,-0.09425709397734186,-0.062405570006943446,0.19383440123130696,-0.03141676525141078,1.0,1.0,1.0,1.0,1.0
SPAC1039.11c,gto1,V,-0.2882826089456699,-0.517430352848077,0.02905626789509125,-0.45218869126523953,-0.2272775079251441,1.0,1.0,1.0,0.7192807192807192,1.0
SPAC105.01c,kha1,V,-0.0031973472329653863,0.10251732968923699,0.11332586213206466,-0.009352491066778351,0.13867046537091227,1.0,1.0,1.0,1.0,1.0
SPAC105.03c,SPAC105.03c,V,0.019728739150161517,0.10297430767671235,0.042498272494272515,0.14252990312446714,0.008731386664041432,1.0,1.0,1.0,1.0,1.0
SPAC1071.01c,pta1,E,-0.03524604401602498,1.8141110403796017,3.936181771646676,5.207010345705948,6.175491007376586,1.0,0.061938061938061936,0.3336663336663337,0.10989010989010989,0.14185814185814186
SPAC1071.02,mms19,V,0.07577969474924755,0.5953005460605422,1.867527395063366,2.6399497307214803,3.144390794127376,1.0,1.0,0.01998001998001998,0.001998001998001998,0.001998001998001998
SPAC1071.03c,sil1,V,0.06027361421249131,-0.031237139869408185,0.3888501371564433,0.050601686467258565,0.18196884256159992,1.0,1.0,1.0,1.0,1.0
SPAC1071.04c,spc2,V,-0.24890258099459486,-0.15187891834563685,-0.12017413377224034,0.28800957931924515,0.5517801667867691,1.0,1.0,1.0,1.0,1.0
SPAC1071.05,hpm1,V,-0.139966102902734,0.2951604558921485,0.25983673259324563,0.3018623697903042,0.16516068341200044,1.0,1.0,1.0,1.0,1.0
SPAC1071.06,arp9,V,0.0227092236125609,0.1348060022220019,0.3011067737289239,0.4231236371934928,0.5448367799031126,1.0,1.0,1.0,1.0,1.0
SPAC1071.09c,SPAC1071.09c,V,0.20717719115851385,0.25858235805601043,0.2239756400132991,0.6094575390407275,0.7576300872052671,1.0,1.0,1.0,1.0,1.0
