#gene_systematic_id	gene_name	mondo_id	reference	date
SPAC1002.03c	gls2	MONDO:0010916	PB_REF:0000006	
SPAC1002.05c	jmj2	MONDO:0020850	PB_REF:0000006	
SPAC1002.05c	jmj2	MONDO:0010767	PB_REF:0000006	
SPAC1002.05c	jmj2	MONDO:0010355	PB_REF:0000006	
SPAC1002.09c	dld1	MONDO:0004736	PB_REF:0000003	2016-01-05
SPAC1002.09c	dld1	MONDO:0000688	PB_REF:0000003	2016-01-05
SPAC1002.09c	dld1	MONDO:0009563	PB_REF:0000003	2016-01-05
SPAC1002.09c	dld1	MONDO:0000440	PB_REF:0000003	2006-07-25
SPAC1002.09c	dld1	MONDO:0005066	PB_REF:0000003	2016-01-05
SPAC1002.09c	dld1	MONDO:0009529	PB_REF:0000006	
SPAC1002.11	gaa1	MONDO:0060627	PB_REF:0000006	
SPAC1002.12c	ssd1	MONDO:0010083	PB_REF:0000006	
SPAC1002.16c	tna1	MONDO:0011568	PB_REF:0000006	
SPAC1002.16c	tna1	MONDO:0010027	PB_REF:0000006	
SPAC1002.16c	tna1	MONDO:0002561	PB_REF:0000003	2016-01-06
SPAC1002.16c	tna1	MONDO:0005066	PB_REF:0000003	2016-01-06
SPAC1002.16c	tna1	MONDO:0011449	PB_REF:0000006	
SPAC1002.16c	tna1	MONDO:0010028	PB_REF:0000003	2016-01-06
SPAC1006.01	psp3	MONDO:0005439	PB_REF:0000003	2016-01-06
SPAC1006.01	psp3	MONDO:0011369	PB_REF:0000006	
SPAC1006.01	psp3	MONDO:0005066	PB_REF:0000003	2016-01-06
SPAC1006.07	tif1	MONDO:0957541	PB_REF:0000006	
SPAC1039.02		MONDO:0008895	PB_REF:0000006	
SPAC1039.04		MONDO:0011568	PB_REF:0000006	
SPAC1039.04		MONDO:0010027	PB_REF:0000006	
SPAC1039.04		MONDO:0002561	PB_REF:0000003	2016-01-06
SPAC1039.04		MONDO:0005066	PB_REF:0000003	2016-01-06
SPAC1039.04		MONDO:0011449	PB_REF:0000006	
SPAC1039.04		MONDO:0010028	PB_REF:0000003	2016-01-06
SPAC1039.09	isp5	MONDO:0014323	PB_REF:0000006	
SPAC1039.11c	gto1	MONDO:0009114	PB_REF:0000006	
SPAC1039.11c	gto1	MONDO:0002412	PB_REF:0000003	2016-01-06
SPAC1039.11c	gto1	MONDO:0009290	PB_REF:0000006	
SPAC1039.11c	gto1	MONDO:0005066	PB_REF:0000003	2016-01-06
SPAC1071.03c	sil1	MONDO:0009567	PB_REF:0000006	
SPAC1071.06	arp9	MONDO:0032768	PB_REF:0000006	
SPAC1071.06	arp9	MONDO:0032770	PB_REF:0000006	
SPAC1071.06	arp9	MONDO:0060596	PB_REF:0000003	2020-05-16
SPAC1071.06	arp9	MONDO:0060596	PB_REF:0000003	2020-05-16
SPAC1071.06	arp9	MONDO:0018614	PB_REF:0000003	2020-05-16
SPAC1093.02	pdx3	MONDO:0012407	PB_REF:0000006	
SPAC1093.03	fig4	MONDO:0012945	PB_REF:0000006	
SPAC1093.03	fig4	MONDO:0012986	PB_REF:0000006	
SPAC1093.03	fig4	MONDO:0015626	PMID:23293578	2014-10-24
