# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPATRNAALA.01			tRNA Alanine
SPATRNAALA.02	scn2		tRNA Alanine
SPATRNAALA.03	scn1		tRNA Alanine
SPATRNAALA.04			tRNA Alanine
SPATRNAALA.05			tRNA Alanine
SPATRNAALA.06			tRNA Alanine
SPATRNAARG.01			tRNA Arginine
SPATRNAARG.02			tRNA Arginine
SPATRNAARG.03			tRNA Arginine
SPATRNAASP.01			tRNA Aspartic acid
SPATRNAASP.02			tRNA Aspartic acid
SPATRNACYS.01			tRNA Cysteine
SPATRNACYS.02			tRNA Cysteine
SPATRNACYS.03			tRNA Cysteine
SPATRNAGLU.01			tRNA Glutamic acid
SPATRNAGLU.02			tRNA Glutamic acid
SPATRNAGLU.03			tRNA Glutamic acid
SPATRNAGLU.04			tRNA Glutamic acid
SPATRNAGLY.01			tRNA Glycine
SPATRNAGLY.02			tRNA Glycine
SPATRNAILE.01			tRNA Isoleucine
SPATRNAILE.02			tRNA Isoleucine
SPATRNAILE.03			tRNA Isoleucine
SPATRNAILE.04			tRNA Isoleucine
SPATRNALEU.01			tRNA Leucine
SPATRNALEU.02			tRNA Leucine
SPATRNALEU.03			tRNA Leucine
SPATRNALEU.04			tRNA Leucine
SPATRNALYS.01			tRNA Lysine
SPATRNALYS.02			tRNA Lysine
SPATRNALYS.03			tRNA Lysine
SPATRNALYS.04			tRNA Lysine
SPATRNALYS.05			tRNA Lysine
SPATRNAMET.01			tRNA initiator Methionine
SPATRNAMET.02			tRNA Methionine
SPATRNAMET.03			tRNA initiator Methionine
SPATRNAPHE.01			tRNA Phenylalanine
SPATRNAPHE.02			tRNA Phenylalanine
SPATRNAPRO.01			tRNA Proline
SPATRNAPRO.02	spl1		tRNA Proline
SPATRNAPRO.03			tRNA Proline
SPATRNASER.01		sup12	tRNA Serine
SPATRNASER.02			tRNA Serine
SPATRNASER.03	sup3	sup3-e,sup3-i,sup3-5	tRNA Serine
SPATRNASER.04			tRNA Serine
SPATRNATHR.01			tRNA Threonine
SPATRNATHR.02			tRNA Threonine
SPATRNATHR.03			tRNA Threonine
SPATRNATHR.04			tRNA Threonine
SPATRNATHR.05			tRNA Threonine
SPATRNATRP.01			tRNA Tryptophan
SPATRNATYR.01			tRNA Tyrosine
SPATRNAVAL.01			tRNA Valine
SPATRNAVAL.02			tRNA Valine
SPATRNAVAL.03			tRNA Valine
SPATRNAVAL.04			tRNA Valine
SPBTRNAALA.07			tRNA Alanine
SPBTRNAALA.08			tRNA Alanine
SPBTRNAALA.09			tRNA Alanine
SPBTRNAALA.10			tRNA Alanine
SPBTRNAALA.11			tRNA Alanine
SPBTRNAARG.04			tRNA Arginine
SPBTRNAARG.05			tRNA Arginine
SPBTRNAARG.06			tRNA arginine
SPBTRNAARG.07			tRNA Arginine
SPBTRNAASN.01			tRNA Asparagine
SPBTRNAASN.02			tRNA Asparagine
SPBTRNAASN.03			tRNA Asparagine
SPBTRNAASN.04			tRNA Asparagine
SPBTRNAASP.04			tRNA Aspartic acid
SPBTRNAASP.05			tRNA Asparagine
SPBTRNAGLN.01			tRNA Glutamine
SPBTRNAGLN.02			tRNA Glutamine
SPBTRNAGLN.03			tRNA Glutamine
SPBTRNAGLN.04			tRNA Glutamine
SPBTRNAGLU.05			tRNA Glutamic acid
SPBTRNAGLU.06			tRNA Glutamic acid
SPBTRNAGLU.07			tRNA Glutamic acid
SPBTRNAGLU.08			tRNA Glutamic acid
SPBTRNAGLY.03			tRNA Glycine
SPBTRNAGLY.04			tRNA Glycine
SPBTRNAGLY.05			tRNA Glycine
SPBTRNAGLY.06			tRNA Glycine
SPBTRNAGLY.07			tRNA Glycine
SPBTRNAGLY.08			tRNA Glycine
SPBTRNAGLY.09			tRNA Glycine
SPBTRNAHIS.01			tRNA Histidine
SPBTRNAHIS.02			tRNA Histidine
SPBTRNAILE.05			tRNA Isoleucine
SPBTRNAILE.06			tRNA Isoleucine
SPBTRNAILE.07			tRNA Isoleucine
SPBTRNAILE.08			tRNA Isoleucine
SPBTRNALEU.05			tRNA Leucine
SPBTRNALEU.06			tRNA Leucine
SPBTRNALEU.07			tRNA Leucine
SPBTRNALEU.08			tRNA Leucine
SPBTRNALEU.09			tRNA Leucine
SPBTRNALEU.10			tRNA Leucine
SPBTRNALYS.06			tRNA Lysine
SPBTRNALYS.07			tRNA Lysine
SPBTRNALYS.08			tRNA Lysine
SPBTRNALYS.09			tRNA Lysine
SPBTRNAMET.04			tRNA Methionine
SPBTRNAMET.05			tRNA Methionine
SPBTRNAMET.06	imt06		tRNA initiator Methionine
SPBTRNAPHE.03			tRNA Phenylalanine
SPBTRNAPRO.04			tRNA Proline
SPBTRNAPRO.05			tRNA Proline
SPBTRNAPRO.06			tRNA Proline
SPBTRNAPRO.07			tRNA Proline
SPBTRNAPRO.08			tRNA Proline
SPBTRNASER.05			tRNA Serine
SPBTRNASER.06			tRNA Serine
SPBTRNATHR.06			tRNA Threonine
SPBTRNATHR.07			tRNA Threonine
SPBTRNATRP.02			tRNA Tryptophan
SPBTRNATRP.03			tRNA Tryptophan
SPBTRNATYR.02			tRNA Tyrosine
SPBTRNATYR.03			tRNA Tyrosine
SPBTRNATYR.04			tRNA Tyrosine
SPBTRNAVAL.05			tRNA Valine
SPBTRNAVAL.06			tRNA Valine
SPBTRNAVAL.07			tRNA Valine
SPBTRNAVAL.08			tRNA Valine
SPCTRNAALA.12			tRNA Alanine
SPCTRNAARG.08			tRNA Arginine
SPCTRNAARG.09			tRNA Arginine
SPCTRNAARG.10			tRNA Arginine
SPCTRNAARG.11			tRNA Arginine
SPCTRNAARG.12			tRNA Arginine
SPCTRNAARG.13			tRNA Arginine
SPCTRNAASN.05			tRNA Asparagine
SPCTRNAASN.06			tRNA Asparagine
SPCTRNAASP.05			tRNA Asparagine
SPCTRNAASP.06			tRNA Asparagine
SPCTRNAASP.07			tRNA Asparagine
SPCTRNAASP.08			tRNA Asparagine
SPCTRNAGLN.05			tRNA Glutamine
SPCTRNAGLN.06			tRNA Glutamine
SPCTRNAGLU.09			tRNA Glutamic acid
SPCTRNAGLU.10			tRNA Glutamic acid
SPCTRNAGLY.10			tRNA Glycine
SPCTRNAGLY.11			tRNA Glycine
SPCTRNAGLY.12			tRNA Glycine
SPCTRNAHIS.03			tRNA Histidine
SPCTRNAHIS.04			tRNA Histidine
SPCTRNAILE.09			tRNA Isoleucine
SPCTRNALEU.11			tRNA Leucine
SPCTRNALEU.12			tRNA Leucine
SPCTRNALEU.13			tRNA Leucine
SPCTRNALYS.10			tRNA Lysine
SPCTRNALYS.11			tRNA Lysine
SPCTRNALYS.12			tRNA Lysine
SPCTRNAMET.07	imt07		tRNA initiator Methionine
SPCTRNAPHE.04			tRNA Phenylalanine
SPCTRNAPHE.05			tRNA Phenylalanine
SPCTRNAPRO.09			tRNA Proline
SPCTRNASER.07			tRNA Serine
SPCTRNASER.08			tRNA Serine
SPCTRNASER.09			tRNA Serine
SPCTRNASER.10			tRNA Serine
SPCTRNASER.11	sup9		tRNA Serine
SPCTRNASER.12			tRNA Serine
SPCTRNASER.13			tRNA Serine
SPCTRNATHR.08			tRNA Threonine
SPCTRNATHR.09			tRNA Threonine
SPCTRNATHR.10			tRNA Threonine
SPCTRNAVAL.09			tRNA Valine
SPCTRNAVAL.10			tRNA Valine
SPCTRNAVAL.11			tRNA Valine
SPCTRNAVAL.12			tRNA Valine
SPMITNCRNA.01	rnpB		mitochondrial RNase P RNA
SPMITTRNAALA.01			tRNA Alanine (ugc), mitochondrial
SPMITTRNAARG.01			tRNA Arginine (ucu), mitochondrial
SPMITTRNAARG.02			tRNA Arginine (ucg), mitochondrial
SPMITTRNAASN.01			tRNA Asparagine (guu), mitochondrial
SPMITTRNAASP.01			tRNA Aspartic acid (guc), mitochondrial
SPMITTRNACYS.01			tRNA Cysteine (gca), mitochondrial
SPMITTRNAGLN.01			tRNA Glutamine (uug), mitochondrial
SPMITTRNAGLU.01			tRNA Glutamic acid (uuc), mitochondrial
SPMITTRNAGLY.01			tRNA Glycine (ucc), mitochondrial
