Q9US57	SPAC1002.01	mrx11
Q9US56	SPAC1002.02	pom34
Q9US55	SPAC1002.03c	gls2
Q9US54	SPAC1002.04c	taf11
Q9US53	SPAC1002.05c	jmj2
Q9US52	SPAC1002.06c	bqt2
P79081	SPAC1002.07c	-
Q9US51	SPAC1002.08c	mtf1
O00087	SPAC1002.09c	dld1
Q9US49	SPAC1002.10c	sgt1
Q9US48	SPAC1002.11	gaa1
Q9US47	SPAC1002.12c	ssd1
Q9UR09	SPAC1002.13c	psu1
Q9US46	SPAC1002.14	itt1
Q9US45	SPAC1002.15c	med6
Q9US44	SPAC1002.16c	tna1
Q9US43	SPAC1002.17c	urg2
Q9US42	SPAC1002.18	urg3
Q9US41	SPAC1002.19	urg1
Q9C121	SPAC1002.20	-
Q9UTS0	SPAC1006.01	psp3
Q9UTR9	SPAC1006.02	asa1
Q9UTR8	SPAC1006.03c	red1
Q9UTR7	SPAC1006.04c	mcp3
Q9UTR6	SPAC1006.05c	och1
Q9UTR5	SPAC1006.06	rgf2
P47943	SPAC1006.07	tif1
Q9UTR4	SPAC1006.08	etd1
O74304	SPAC1006.09	win1
Q9US40	SPAC1039.01	-
Q9US39	SPAC1039.02	-
Q9US38	SPAC1039.03	-
Q9US37	SPAC1039.04	-
Q9US36	SPAC1039.05c	klf1
Q9US35	SPAC1039.06	-
Q9US34	SPAC1039.07c	-
Q9US33	SPAC1039.08	-
P40901	SPAC1039.09	isp5
Q9UR06	SPAC1039.10	mmf2
Q9URX4	SPAC1039.11c	gto1
Q9P7I1	SPAC105.01c	kha1
Q9P7I0	SPAC105.02c	ank1
Q9P7H9	SPAC105.03c	dal81
Q10222	SPAC1071.01c	pta1
Q9UTR1	SPAC1071.02	mms19
Q9UTR0	SPAC1071.03c	sil1
Q9UTQ9	SPAC1071.04c	spc2
Q9UTQ8	SPAC1071.05	hpm1
Q9UTQ7	SPAC1071.06	arp9
Q9UTQ6	SPAC1071.07c	rps1502
O14317	SPAC1071.08	rpp203
Q9UTQ5	SPAC1071.09c	-
P09627	SPAC1071.10c	pma1
Q9UTQ4	SPAC1071.11	coq12
P41893	SPAC1071.12c	stp1
G2TRN1	SPAC1071.13	-
Q10451	SPAC1093.01	ppr5
Q9UTQ1	SPAC1093.02	pdx3
Q7Z9H9	SPAC1093.03	fig4
Q9UTQ0	SPAC1093.04c	cca1
Q9UTP9	SPAC1093.05	hca4
O13290	SPAC1093.06c	dhc1
G2TRJ6	SPAC1093.07	-
Q1K9C2	SPAC10F6.01c	sir1
O42643	SPAC10F6.02c	prp22
O42644	SPAC10F6.03c	cts1
O42645	SPAC10F6.04	ats1
O42646	SPAC10F6.05c	ubc6
P87216	SPAC10F6.06	vip1
O42647	SPAC10F6.07c	mug94
O42648	SPAC10F6.08c	nht1
O42649	SPAC10F6.09c	psm3
O42650	SPAC10F6.10	rio1
O42651	SPAC10F6.11c	atg17
P87014	SPAC10F6.12c	mam4
O42652	SPAC10F6.13c	caa1
O42653	SPAC10F6.14c	-
O42654	SPAC10F6.15	-
P79058	SPAC10F6.16	igo1
O14189	SPAC10F6.17c	-
Q9HFF4	SPAC110.01	ppk1
Q9HFF5	SPAC110.02	pds5
Q01112	SPAC110.03	cdc42
O59838	SPAC110.04c	pss1
O13796	SPAC1142.01	rqc1
O13797	SPAC1142.02c	sgt2
Q10668	SPAC1142.03c	swi2
Q9P7G0	SPAC1142.04	noc201
Q9P7F9	SPAC1142.05	ctr5
Q9P7F8	SPAC1142.06	get3
Q9P7F7	SPAC1142.07c	vps32
O14270	SPAC1142.08	fhl1
Q9P7F5	SPAC1142.09	-
Q10080	SPAC11D3.01c	-
Q10081	SPAC11D3.02c	-
Q10082	SPAC11D3.03c	-
Q10083	SPAC11D3.04c	-
Q10084	SPAC11D3.05	mfs2
Q10085	SPAC11D3.06	-
Q10086	SPAC11D3.07c	toe4
Q10087	SPAC11D3.08c	-
Q10088	SPAC11D3.09	agm1
Q10089	SPAC11D3.10	-
G2TRN9	SPAC11D3.11c	-
Q10092	SPAC11D3.13	hsp3104
Q10093	SPAC11D3.14c	-
Q10094	SPAC11D3.15	-
Q10095	SPAC11D3.16c	-
Q10096	SPAC11D3.17	-
Q10097	SPAC11D3.18c	-
G2TRM3	SPAC11D3.19	-
O13682	SPAC11E3.01c	swr1
O13683	SPAC11E3.02c	ync13
O13684	SPAC11E3.03	csm1
O13685	SPAC11E3.04c	ubc13
O13686	SPAC11E3.05	sea3
P78926	SPAC11E3.06	map1
O13687	SPAC11E3.07	vma4
O13688	SPAC11E3.08c	nse6
P32587	SPAC11E3.09	pyp3
O13689	SPAC11E3.10	-
O13690	SPAC11E3.11c	syt22
O13691	SPAC11E3.12	-
O13692	SPAC11E3.13c	gas5
O13693	SPAC11E3.14	-
Q09668	SPAC11E3.15	rpl22
O13695	SPAC11G7.01	mtl2
Q92462	SPAC11G7.02	pub1
O13696	SPAC11G7.03	idh1
P0CH06	SPAC11G7.04	ubi1
O13698	SPAC11G7.05c	mct1
O13699	SPAC11G7.06c	mug132
Q7Z992	SPAC11H11.01	sst6
Q9UTP5	SPAC11H11.02c	mug162
Q9UTP4	SPAC11H11.03c	-
Q00619	SPAC11H11.04	mam2
Q9UTP3	SPAC11H11.05c	fta6
Q9UUJ1	SPAC11H11.06	arp2
Q9UTN6	SPAC1250.01	snf21
Q9UTN7	SPAC1250.02	mug95
Q9UTN8	SPAC1250.03	ubc14
Q9UTN9	SPAC1250.04c	atl1
Q9UTP0	SPAC1250.05	rpl3002
A6X980	SPAC1250.07	sfc7
Q09770	SPAC1296.01c	-
P79010	SPAC1296.02	cox4
P32825	SPAC1296.03c	sxa2
O94611	SPAC1296.04	mug65
O94612	SPAC1296.05c	lcp1
O94613	SPAC1296.06	tah18
Q10435	SPAC12B10.01c	-
Q10436	SPAC12B10.02c	sdg1
Q10437	SPAC12B10.03	bun62
Q10438	SPAC12B10.04	pby1
Q10439	SPAC12B10.05	icp55
Q10440	SPAC12B10.06c	emi5
Q10434	SPAC12B10.07	acp1
Q10441	SPAC12B10.08c	til1
Q10442	SPAC12B10.09	pet801
Q10443	SPAC12B10.10	nod1
Q10444	SPAC12B10.11	exg2
Q10445	SPAC12B10.12c	rhp41
Q10446	SPAC12B10.13	gid8
Q10447	SPAC12B10.14c	tea5
Q10448	SPAC12B10.15c	rnh203
Q10449	SPAC12B10.16c	mug157
Q09866	SPAC12G12.01c	sea4
Q09867	SPAC12G12.02	efg1
Q09868	SPAC12G12.03	cip2
Q09864	SPAC12G12.04	mcp60
Q09869	SPAC12G12.05c	taf9
Q09870	SPAC12G12.06c	rcl1
Q09871	SPAC12G12.07c	cpn1
Q09865	SPAC12G12.08	mrpl6
Q09872	SPAC12G12.09	eti1
Q09873	SPAC12G12.10	wdr21
Q09874	SPAC12G12.11c	miy1
Q09875	SPAC12G12.12	gms2
Q9UTN3	SPAC12G12.13c	cid14
Q9UTN4	SPAC12G12.14c	pfs2
Q09877	SPAC12G12.15	sif3
Q09708	SPAC12G12.16c	-
C6Y4B6	SPAC12G12.17	nce101
Q1MTM9	SPAC1327.01c	-
Q9UTN2	SPAC139.01c	mkt1
Q9UTN1	SPAC139.02c	oac1
Q9UTN0	SPAC139.03	toe2
Q9UTM9	SPAC139.04c	fap2
Q9UTM8	SPAC139.05	ssd2
Q9UTM7	SPAC139.06	hat1
Q9HE12	SPAC1399.01c	-
Q9HE13	SPAC1399.02	-
Q10279	SPAC1399.03	fur4
Q9HE15	SPAC1399.04c	uck2
Q9HE16	SPAC1399.05c	toe1
G2TRK4	SPAC1399.06	-
Q09697	SPAC13A11.01c	rga8
Q09736	SPAC13A11.02c	erg11
Q09739	SPAC13A11.03	mcp7
Q09738	SPAC13A11.04c	ubp8
Q09735	SPAC13A11.05	ysp2
Q09737	SPAC13A11.06	pdc202
Q09682	SPAC13C5.01c	pre9
Q09685	SPAC13C5.02	dre4
Q09684	SPAC13C5.03	tht1
Q09686	SPAC13C5.04	-
Q09687	SPAC13C5.05c	-
Q09688	SPAC13C5.06c	mug121
Q09683	SPAC13C5.07	mre11
P0CT42	SPAC13D1.01c	Tf2-7
Q10223	SPAC13D6.01	pof14
P36627	SPAC13D6.02c	byr3
Q10224	SPAC13D6.03c	trm9
Q10225	SPAC13D6.04c	btb3
Q10235	SPAC13D6.05	alp11
O13921	SPAC13F5.01c	msh1
O13701	SPAC13F5.02c	taf7
O13702	SPAC13F5.03c	gld1
O13703	SPAC13F5.04c	vta1
O13704	SPAC13F5.05	mpd1
O13705	SPAC13F5.06c	sec10
O13706	SPAC13F5.07c	hpz2
P36607	SPAC13G6.01c	rad8
Q09781	SPAC13G6.02c	rps101
Q09782	SPAC13G6.03	gpi7
Q09783	SPAC13G6.04	tim8
Q09784	SPAC13G6.05c	trs33
Q09785	SPAC13G6.06c	gcv2
P05752	SPAC13G6.07c	rps601
Q09786	SPAC13G6.08	fzr2
Q09787	SPAC13G6.09	tsr402
Q09788	SPAC13G6.10c	asl1
Q09780	SPAC13G6.11c	erg12
P30597	SPAC13G6.12c	chs1
Q09789	SPAC13G6.13	-
Q09790	SPAC13G6.14	aps1
Q09791	SPAC13G6.15c	rcn1
Q10231	SPAC13G7.01c	erg7
Q10265	SPAC13G7.02c	ssa1
Q10267	SPAC13G7.03	upf3
Q10268	SPAC13G7.04c	mac1
Q10269	SPAC13G7.05	are1
Q10270	SPAC13G7.06	met16
Q10271	SPAC13G7.07	arb2
Q10272	SPAC13G7.08c	crb3
Q10273	SPAC13G7.09c	-
Q10274	SPAC13G7.10	teb1
Q10275	SPAC13G7.11	mba1
Q10276	SPAC13G7.12c	eki1
Q10277	SPAC13G7.13c	msa1
P21911	SPAC140.01	sdh2
P41891	SPAC140.02	gar2
Q9P7B8	SPAC140.03	arb1
Q9P7B7	SPAC140.04	ctr1
Q9UTM5	SPAC1420.01c	mks1
Q9UTM4	SPAC1420.02c	cct5
P0CU17	SPAC1420.03	rpn501
Q9UTM2	SPAC1420.04c	cox1101
Q9UTM1	SPAC144.01	-
Q9UTM0	SPAC144.02	iec1
Q02787	SPAC144.03	ade2
Q9UQW9	SPAC144.04c	spe1
Q9UTL9	SPAC144.05	irc20
Q9UTL8	SPAC144.06	apl5
Q9UTL7	SPAC144.07c	gpn2
Q9UTL6	SPAC144.08	jac1
Q9UTL5	SPAC144.09c	sfc2
Q9UTL4	SPAC144.10c	gwt1
P0CT74	SPAC144.11	rps1102
Q9UTL3	SPAC144.12	rki1
O13286	SPAC144.13c	srw1
Q9UTL2	SPAC144.14	klp8
Q9UTL1	SPAC144.15c	cog1
Q9UTL0	SPAC144.16	cia2
Q9UTK9	SPAC144.17c	-
Q9UTK8	SPAC144.18	vrg4
Q9UQX0	SPAC1486.01	sod2
Q9UTK7	SPAC1486.02c	dsc2
Q9UTK6	SPAC1486.03c	ntr1
Q9UTK5	SPAC1486.04c	alm1
Q9UTK4	SPAC1486.05	nup189
