# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPAC1002.01	mrx11	SPAC1610.05	mitochondrial expression network (MIOREX) component Mrx11
SPAC1002.02	pom34	mug31	nucleoporin Pom34
SPAC1002.03c	gls2		glucosidase II alpha subunit Gls2
SPAC1002.04c	taf11		transcription factor TFIID complex subunit Taf11
SPAC1002.05c	jmj2	kdm5	histone demethylase Jmj2
SPAC1002.06c	bqt2	mug18,rec23	bouquet formation protein Bqt2
SPAC1002.07c		ats1	D-amino acid N-acetyltransferase
SPAC1002.08c	mtf1		mitochondrial RNA polymerase specificity factor, predicted rRNA methyltransferase Mtf1
SPAC1002.09c	dld1	dldh	mitochondrial dihydrolipoamide dehydrogenase (e3 component of oxoglutarate dehydrogenase complex) Dld1
SPAC1002.10c	sgt1		snRNP binding protein Sgt1
SPAC1002.11	gaa1		GPI-anchor transamidase complex subunit Gaa1
SPAC1002.12c	ssd1		succinate-semialdehyde dehydrogenase [NAD(P)+] Ssd1
SPAC1002.13c	psu1		cell wall beta-glucosidase Psu1
SPAC1002.14	itt1		ubiquitin-protein ligase E3 involved in cytoplasmic translational termination
SPAC1002.15c	med6	pmc5	mediator complex subunit Med6
SPAC1002.16c	tna1		plasma membrane carboxylic acid transmembrane transporter Tna1
SPAC1002.17c	urg2		uracil phosphoribosyltransferase
SPAC1002.18	urg3		DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism
SPAC1002.19	urg1		GTP cyclohydrolase II Urg1
SPAC1002.20			dubious
SPAC1006.01	psp3		vacuolar serine protease Psp3
SPAC1006.02	asa1		TTT co-chaperone complex, WD repeat subunit Asa1
SPAC1006.03c	red1	iss3	MTREC (exosome adaptor) complex subunit Red1
SPAC1006.04c	mcp3	mug7	Schizosaccharomyces specific protein Mcp3
SPAC1006.05c	och1		Golgi alpha-1,6-mannosyltransferase Och1
SPAC1006.06	rgf2		RhoGEF for Rho1 Rgf2
SPAC1006.07	tif1		translation initiation factor eIF4A tif1
SPAC1006.08	etd1		Spg1-binding protein Etd1
SPAC1006.09	win1	SPAC1250.06c,SPAPJ730.01	MAP kinase kinase kinase Win1
SPAC1039.01			plasma membrane amino acid transmembrane transporter family, related to 7-keto 8-aminopelargonic acid transporter
SPAC1039.02			extracellular 5'-nucleotidase, human NT5E family
SPAC1039.03			esterase/lipase, implicated in cellular detoxification
SPAC1039.04			plasma membrane carboxylic acid transmembrane transporter
SPAC1039.05c	klf1		DNA-binding transcription factor, zf-fungal binuclear cluster type Klf1
SPAC1039.06			D-serine ammonia-lyase activity
SPAC1039.07c			aminotransferase class-III, possible transaminase, unknown specificity, implicated in amino acid or cofactor metabolism
SPAC1039.08			serine O-acetyltransferase
SPAC1039.09	isp5		plasma membrane amino acid transmembrane transporter Isp5
SPAC1039.10	mmf2	hpm1,SPAC922.01	mitochondrial matrix protein, YjgF family protein Mmf2, reactive intermediate imine deaminase A homolog
SPAC1039.11c	gto1	SPAC922.02c	alpha-glucosidase
SPAC105.01c	kha1		plasma membrane potassium ion/proton antiporter Kha1
SPAC105.02c	ank1		ankyrin repeat protein Ank1
SPAC105.03c	dal81		DNA-binding transcription factor
SPAC1071.01c	pta1	SPAC4H3.15c	mRNA cleavage and polyadenylation specificity factor complex, symplekin scaffold subunit Pta1
SPAC1071.02	mms19		CIA machinery iron sulphur cluster to apoprotein adaptor Mms19
SPAC1071.03c	sil1		nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1
SPAC1071.04c	spc2		signal peptidase subunit Spc2
SPAC1071.05	hpm1		ribosome methytransferase involved in ribosome assembly Hpm1
SPAC1071.06	arp9		SWI/SNF and RSC complex subunit Arp9
SPAC1071.07c	rps1502	rps15-2,rps15	40S ribosomal protein S15
SPAC1071.08	rpp203	rpp2-3,rla6,rpa2	60S acidic ribosomal protein A2
SPAC1071.09c			nucleolar DNAJ domain protein, DNAJC9 family, implicated in mRNA splicing
SPAC1071.10c	pma1		plasma membrane P-type proton exporting ATPase, P3-type Pma1
SPAC1071.11	coq12		NAD reductase Coq12
SPAC1071.12c	stp1	SPAC926.01c	protein tyrosine phosphatase Stp1, unknown biological role
SPAC1071.13			Schizosaccharomyces pombe specific protein, predicted KOW-SH3 superfamily member
SPAC1093.01	ppr5	SPAC12B10.18	mitochondrial PPR repeat protein Ppr5
SPAC1093.02	pdx3		pyridoxamine 5'-phosphate oxidase Pdx3
SPAC1093.03	fig4		inositol polyphosphate phosphatase Fig4
SPAC1093.04c	cca1		CTP 3'-tRNA nucleotidyltransferase Cca1
SPAC1093.05	hca4		ATP-dependent RNA helicase Hca4
