acc	GO_name	systematic_id	symbol	gene_product_description	evidence_code	source	assigned_by
GO:0000110	nucleotide-excision repair factor 1 complex	SPBC4F6.15c	swi10	DNA repair endonuclease non-catalytic (ERCC1) subunit Swi10	IPI	PMID:8114734	PomBase
GO:0000110	nucleotide-excision repair factor 1 complex	SPBC649.03	rhp14	XP-A family homolog Rhp14	IBA	GO_REF:0000033	GO_Central
GO:0000110	nucleotide-excision repair factor 1 complex	SPCC970.01	rad16	DNA repair endonuclease XPF	IPI	PMID:8114734	PomBase
GO:0000111	nucleotide-excision repair factor 2 complex	SPAC12B10.12c	rhp41	DNA repair protein Rhp41	IBA	GO_REF:0000033	GO_Central
GO:0000111	nucleotide-excision repair factor 2 complex	SPCC4G3.10c	rhp42	DNA repair protein Rhp42	IBA	GO_REF:0000033	GO_Central
GO:0000112	nucleotide-excision repair factor 3 complex	SPAC16E8.11c	tfb1	transcription factor TFIIH complex subunit Tfb1	ISO	GO_REF:0000024	PomBase
GO:0000112	nucleotide-excision repair factor 3 complex	SPAC17A5.06	ptr8	transcription factor TFIIH complex DNA helicase (human ERCC3) subunit Ptr8	IBA	GO_REF:0000033	GO_Central
GO:0000112	nucleotide-excision repair factor 3 complex	SPAC1D4.12	rad15	transcription factor TFIIH complex DNA helicase (human ERCC2) subunit Rad15	IGI	PMID:1534406	PomBase
GO:0000112	nucleotide-excision repair factor 3 complex	SPBC13G1.13	tfb2	transcription factor TFIIH complex subunit Tfb2	ISO	GO_REF:0000024	PomBase
GO:0000112	nucleotide-excision repair factor 3 complex	SPBC776.18c	pmh1	transcription factor TFIIK complex ubiquitin-protein ligase E3 subunit, Pmh1	ISO	GO_REF:0000024	PomBase
GO:0000124	SAGA complex	SPAC12G12.05c	taf9	SAGA complex/transcription factor TFIID complex subunit Taf9	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC12G12.05c	taf9	SAGA complex/transcription factor TFIID complex subunit Taf9	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC13A11.04c	ubp8	SAGA complex ubiquitin C-terminal hydrolase Ubp8	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC13A11.04c	ubp8	SAGA complex ubiquitin C-terminal hydrolase Ubp8	IPI	PMID:20838651,PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC15A10.02	taf12	SAGA complex/transcription factor TFIID complex subunit A Taf12	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC15A10.02	taf12	SAGA complex/transcription factor TFIID complex subunit A Taf12	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC1952.05	gcn5	SAGA complex histone acetyltransferase catalytic subunit Gcn5	IDA	PMID:11279037,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC1952.05	gcn5	SAGA complex histone acetyltransferase catalytic subunit Gcn5	IPI	PMID:29079657	PomBase
