Systematic_ID	Mass (kDa)	pI	Charge	Residues	CAI
SPAC1002.01	18.28	10.76	14.86	162	0.57
SPAC1002.02	25.84	10.44	10.19	229	0.59
SPAC1002.03c	106.28	5.92	-18.68	923	0.55
SPAC1002.04c	22.54	8.83	1.96	199	0.53
SPAC1002.05c	82.88	6.75	-2.77	715	0.63
SPAC1002.06c	13.69	7.63	1.12	118	0.54
SPAC1002.07c	19.15	4.72	-4.03	168	0.53
SPAC1002.08c	41.20	8.71	6.97	366	0.61
SPAC1002.09c	54.73	8.76	10.35	511	0.56
SPAC1002.10c	68.16	4.21	-53.3	590	0.62
SPAC1002.11	66.88	7.44	2.02	581	0.6
SPAC1002.12c	53.27	5.82	-3.93	498	0.62
SPAC1002.13c	41.75	4.19	-13.59	417	0.47
SPAC1002.14	50.30	4.99	-15.12	435	0.63
SPAC1002.15c	24.91	5.07	-5.1	216	0.59
SPAC1002.16c	55.27	9.32	14.86	499	0.63
SPAC1002.17c	20.48	8.96	2.43	189	0.49
SPAC1002.18	44.21	6.33	-1.32	399	0.59
SPAC1002.19	49.03	6.07	-7	439	0.48
SPAC1002.20	12.25	8.66	2.87	101	0.5
SPAC1006.01	48.73	5.51	-12.2	451	0.52
SPAC1006.02	40.85	7.46	2.68	368	0.57
SPAC1006.03c	79.49	4.97	-17.13	712	0.62
SPAC1006.04c	109.87	5.47	-18.02	952	0.62
SPAC1006.05c	45.93	4.35	-31.11	396	0.61
SPAC1006.06	130.88	9.69	37.26	1158	0.63
SPAC1006.07	44.44	4.62	-16.44	392	0.48
SPAC1006.08	43.66	4.61	-19.93	391	0.62
SPAC1006.09	163.27	6.32	-16.3	1436	0.58
SPAC1039.01	61.73	6.35	-2.11	567	0.57
SPAC1039.02	68.07	4.75	-22.99	601	0.55
SPAC1039.03	37.36	5.58	-7.17	341	0.57
SPAC1039.04	56.01	8.8	5.8	507	0.62
SPAC1039.05c	89.01	7.44	4.86	781	0.61
SPAC1039.06	45.65	5.82	-6.76	415	0.62
SPAC1039.07c	48.45	5.97	-6.65	448	0.6
SPAC1039.08	29.26	7.16	0.52	270	0.63
SPAC1039.09	63.85	8.31	7.54	580	0.61
SPAC1039.10	13.34	5.16	-1.1	126	0.52
SPAC1039.11c	112.71	4.51	-42.81	995	0.61
SPAC105.01c	98.95	7.97	5.35	889	0.66
SPAC105.02c	18.56	3.83	-24.18	170	0.56
SPAC105.03c	80.99	6.79	-1.95	708	0.65
SPAC1071.01c	82.09	4.96	-20.18	721	0.59
SPAC1071.02	114.67	5.07	-15.79	1018	0.58
SPAC1071.03c	38.78	7.94	1.83	338	0.57
SPAC1071.04c	19.05	9.44	5.64	167	0.5
SPAC1071.05	38.25	4.36	-18.82	339	0.57
SPAC1071.06	59.14	4.58	-24.83	523	0.63
SPAC1071.07c	17.63	11.02	13.43	154	0.43
SPAC1071.08	11.11	3.77	-15.99	110	0.36
SPAC1071.09c	29.74	9.13	5.88	255	0.6
SPAC1071.10c	99.88	4.81	-26.63	919	0.45
SPAC1071.11	27.04	8.74	7.19	244	0.6
SPAC1071.12c	17.39	8.62	3.58	156	0.53
SPAC1071.13	12.90	11.87	22.41	105	0.5
SPAC1093.01	141.95	7.23	3.13	1261	0.57
SPAC1093.02	27.01	6.18	-2.02	231	0.55
SPAC1093.03	96.03	8.62	12.98	832	0.6
SPAC1093.04c	57.55	7.48	2.72	500	0.6
SPAC1093.05	83.67	7.72	3.76	735	0.54
SPAC1093.06c	484.31	6.54	-21.2	4196	0.61
SPAC1093.07	8.86	11.14	8.94	78	0.48
SPAC10F6.01c	163.84	5.18	-35.84	1473	0.55
SPAC10F6.02c	131.49	7.18	1.71	1168	0.62
SPAC10F6.03c	66.87	5.78	-14.18	600	0.56
SPAC10F6.04	38.71	5.59	-7.98	351	0.59
SPAC10F6.05c	25.66	9	3.89	227	0.57
SPAC10F6.06	27.46	5.43	-4.06	257	0.51
SPAC10F6.07c	21.53	7.68	1.46	188	0.61
SPAC10F6.08c	38.24	9.78	7.95	341	0.53
SPAC10F6.09c	136.85	5.46	-19.82	1194	0.58
SPAC10F6.10	57.50	6.96	-0.22	497	0.6
SPAC10F6.11c	47.06	5.22	-13.82	411	0.62
SPAC10F6.12c	26.50	9.1	7.02	236	0.56
SPAC10F6.13c	46.14	7.69	3.21	409	0.55
SPAC10F6.14c	61.95	9.77	19.76	535	0.62
SPAC10F6.15	49.45	7.13	0.98	432	0.59
SPAC10F6.16	15.44	10.34	7.67	139	0.59
SPAC10F6.17c	49.74	6.68	-2.56	444	0.65
SPAC110.01	114.01	10.22	51.12	1023	0.63
SPAC110.02	138.87	7.06	0.63	1205	0.64
SPAC110.03	21.33	6.38	-2.54	192	0.55
SPAC110.04c	80.37	4.72	-25.59	720	0.52
SPAC110.06	3.61	8.49	0.94	30	0.26
SPAC1142.01	75.01	4.58	-33.43	656	0.61
SPAC1142.02c	34.00	4.63	-11.09	317	0.52
SPAC1142.03c	82.18	6.12	-8.37	722	0.6
SPAC1142.04	81.13	6.47	-2.84	707	0.62
SPAC1142.05	19.01	9.27	5.81	173	0.57
SPAC1142.06	36.55	4.7	-10.21	329	0.54
SPAC1142.07c	25.30	4.59	-10.5	222	0.54
SPAC1142.08	81.13	9.35	10.77	743	0.65
SPAC1142.09	13.47	9.4	5.84	115	0.54
SPAC11D3.01c	8.77	5.16	-4.8	79	0.41
SPAC11D3.02c	17.41	6.52	-0.62	150	0.53
SPAC11D3.03c	34.05	5.95	-6.63	302	0.58
SPAC11D3.04c	14.65	6.35	-1.83	130	0.57
SPAC11D3.05	61.06	7.95	4.59	546	0.64
SPAC11D3.06	49.09	9.57	9.6	455	0.61
SPAC11D3.07c	73.42	5.96	-8.26	637	0.6
SPAC11D3.08c	59.92	5.19	-3.13	550	0.58
SPAC11D3.09	42.88	4.83	-12.16	394	0.56
SPAC11D3.10	48.24	9.68	13.27	434	0.6
SPAC11D3.11c	40.77	8.39	7.3	357	0.66
SPAC11D3.13	24.23	8.83	4.33	222	0.55
SPAC11D3.14c	138.78	5.95	-16.21	1260	0.61
SPAC11D3.15	143.72	6.06	-17.84	1317	0.59
SPAC11D3.16c	14.85	4.41	-6.65	131	0.55
SPAC11D3.17	67.15	6.5	-4.62	585	0.59
SPAC11D3.18c	55.35	8.38	5.21	498	0.58
SPAC11D3.19	8.41	4.66	-1.93	77	0.51
SPAC11D3.20	3.26	9.51	2.18	28	0.36
SPAC11E3.01c	149.45	6.79	-3.84	1288	0.63
SPAC11E3.02c	142.99	7.55	6.35	1237	0.62
SPAC11E3.03	30.42	5.5	-5.6	261	0.55
SPAC11E3.04c	16.86	7.51	0.43	148	0.56
SPAC11E3.05	149.06	6.51	-10.82	1323	0.59
SPAC11E3.06	44.42	5.8	-7.33	398	0.53
SPAC11E3.07	25.74	5.29	-3.53	227	0.54
SPAC11E3.08c	59.90	7.91	3.79	522	0.58
SPAC11E3.09	34.58	7.94	1.83	303	0.63
SPAC11E3.10	18.48	6.51	-1.14	162	0.56
SPAC11E3.11c	105.91	10.17	41.88	942	0.56
SPAC11E3.12	18.50	8.97	5.31	162	0.59
SPAC11E3.13c	53.69	4.11	-25.24	510	0.57
SPAC11E3.14	67.09	5.26	-17.9	588	0.64
SPAC11E3.15	13.32	10.19	8.46	117	0.4
SPAC11G7.01	52.99	7.16	0.4	536	0.6
SPAC11G7.02	87.27	6.67	-2.98	767	0.58
SPAC11G7.03	38.76	8.08	2.83	356	0.62
SPAC11G7.04	14.60	10.48	14.31	128	0.47
SPAC11G7.05c	35.60	9.61	10.31	318	0.59
SPAC11G7.06c	50.43	9.44	18.56	430	0.62
SPAC11H11.01	55.97	9.82	13.37	487	0.54
SPAC11H11.02c	30.63	8.17	2.54	264	0.55
SPAC11H11.03c	23.60	6.5	-2.29	206	0.52
SPAC11H11.04	39.29	8.41	6.6	348	0.57
SPAC11H11.05c	6.74	9.8	1.98	59	0.34
SPAC11H11.06	44.23	5.97	-4.42	390	0.56
SPAC1250.01	140.09	8.74	15.79	1199	0.62
SPAC1250.02	20.57	7.77	1.29	178	0.56
