systematic_id	gene_name	peptide_id	domain_id	database	seq_start	seq_end
SPAC1002.01	mrx11	SPAC1002.01.1:pep	PF10306	PFAM	61	139
SPAC1002.01	mrx11	SPAC1002.01.1:pep	PTHR28002	PANTHER	1	138
SPAC1002.02	pom34	SPAC1002.02.1:pep	PF08058	PFAM	139	206
SPAC1002.02	pom34	SPAC1002.02.1:pep	PTHR28003	PANTHER	145	219
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	G3DSA:2.60.40.1180	Gene3D	689	788
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	G3DSA:2.60.40.1180	Gene3D	789	918
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	G3DSA:2.60.40.1760	Gene3D	195	367
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	G3DSA:3.20.20.80	Gene3D	368	688
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	PF01055	PFAM	368	696
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	PF13802	PFAM	90	319
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	PF17137	PFAM	812	857
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	PF21365	PFAM	704	792
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	PS51257	PROFILE	1	23
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	PTHR22762	PANTHER	83	889
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	SSF51011	SUPERFAMILY	706	788
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	SSF51445	SUPERFAMILY	356	704
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	SSF74650	SUPERFAMILY	91	352
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	cd06603	CDD	366	834
SPAC1002.03c	gls2	SPAC1002.03c.1:pep	cd14752	CDD	245	366
SPAC1002.04c	taf11	SPAC1002.04c.1:pep	G3DSA:1.10.20.10	Gene3D	100	187
SPAC1002.04c	taf11	SPAC1002.04c.1:pep	PF04719	PFAM	96	179
SPAC1002.04c	taf11	SPAC1002.04c.1:pep	PTHR13218	PANTHER	22	199
SPAC1002.04c	taf11	SPAC1002.04c.1:pep	SSF47113	SUPERFAMILY	100	182
SPAC1002.04c	taf11	SPAC1002.04c.1:pep	cd08048	CDD	100	182
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	G3DSA:1.10.150.60	Gene3D	123	212
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	G3DSA:2.60.120.650	Gene3D	53	323
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	G3DSA:2.60.120.650	Gene3D	324	591
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PF02373	PFAM	455	571
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PF02375	PFAM	61	94
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PF02928	PFAM	661	712
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PS51011	PROFILE	125	217
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PS51183	PROFILE	60	101
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PS51184	PROFILE	422	588
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	PTHR10694	PANTHER	45	714
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	SM00501	SMART	126	218
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	SM00545	SMART	59	100
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	SM00558	SMART	422	588
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	SM01014	SMART	122	213
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	SSF46774	SUPERFAMILY	105	228
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	SSF51197	SUPERFAMILY	338	612
SPAC1002.05c	jmj2	SPAC1002.05c.1:pep	cd16100	CDD	131	213
SPAC1002.07c		SPAC1002.07c.1:pep	G3DSA:3.40.630.30	Gene3D	1	164
SPAC1002.07c		SPAC1002.07c.1:pep	PF00583	PFAM	51	140
SPAC1002.07c		SPAC1002.07c.1:pep	PS51186	PROFILE	4	167
SPAC1002.07c		SPAC1002.07c.1:pep	PTHR10545	PANTHER	3	162
SPAC1002.07c		SPAC1002.07c.1:pep	SSF55729	SUPERFAMILY	4	155
SPAC1002.07c		SPAC1002.07c.1:pep	cd04301	CDD	58	121
SPAC1002.08c	mtf1	SPAC1002.08c.1:pep	G3DSA:1.10.8.100	Gene3D	281	354
SPAC1002.08c	mtf1	SPAC1002.08c.1:pep	G3DSA:3.40.50.150	Gene3D	22	277
SPAC1002.08c	mtf1	SPAC1002.08c.1:pep	PF00398	PFAM	28	350
SPAC1002.08c	mtf1	SPAC1002.08c.1:pep	PS51689	PROFILE	29	352
SPAC1002.08c	mtf1	SPAC1002.08c.1:pep	PTHR11727	PANTHER	30	356
SPAC1002.08c	mtf1	SPAC1002.08c.1:pep	SSF53335	SUPERFAMILY	30	354
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	G3DSA:3.30.390.30	Gene3D	384	504
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	G3DSA:3.50.50.60	Gene3D	47	373
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	G3DSA:3.50.50.60	Gene3D	192	315
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PF02852	PFAM	391	499
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PF07992	PFAM	46	372
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PIRSF000350	PIRSF	17	503
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00368	PRINTS	48	67
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00368	PRINTS	180	198
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00368	PRINTS	219	237
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00368	PRINTS	308	324
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00368	PRINTS	337	359
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	47	69
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	80	95
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	183	192
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	219	244
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	309	323
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	352	359
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	387	408
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	452	467
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PR00411	PRINTS	474	494
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PS00076	PROSITE	81	91
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	PTHR22912	PANTHER	45	503
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	SSF51905	SUPERFAMILY	44	413
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	SSF55424	SUPERFAMILY	387	504
SPAC1002.09c	dld1	SPAC1002.09c.1:pep	TIGR01350	NCBIFAM	45	510
SPAC1002.10c	sgt1	SPAC1002.10c.1:pep	PF07093	PFAM	30	321
SPAC1002.10c	sgt1	SPAC1002.10c.1:pep	PTHR13060	PANTHER	317	589
SPAC1002.11	gaa1	SPAC1002.11.1:pep	PF04114	PFAM	122	559
SPAC1002.11	gaa1	SPAC1002.11.1:pep	PIRSF036762	PIRSF	1	400
SPAC1002.11	gaa1	SPAC1002.11.1:pep	PIRSF036762	PIRSF	393	578
SPAC1002.11	gaa1	SPAC1002.11.1:pep	PTHR13304	PANTHER	8	567
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	G3DSA:3.40.309.10	Gene3D	321	515
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	G3DSA:3.40.605.10	Gene3D	79	541
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	PF00171	PFAM	81	541
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	PS00687	PROSITE	317	324
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	PTHR43353	PANTHER	73	544
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	SSF53720	SUPERFAMILY	50	544
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	TIGR01780	NCBIFAM	92	540
SPAC1002.12c	ssd1	SPAC1002.12c.1:pep	cd07103	CDD	92	544
SPAC1002.13c	psu1	SPAC1002.13c.1:pep	PF03856	PFAM	164	405
SPAC1002.13c	psu1	SPAC1002.13c.1:pep	PTHR31316	PANTHER	1	417
SPAC1002.14	itt1	SPAC1002.14.1:pep	G3DSA:1.20.120.1750	Gene3D	342	432
SPAC1002.14	itt1	SPAC1002.14.1:pep	G3DSA:2.20.25.20	Gene3D	258	310
SPAC1002.14	itt1	SPAC1002.14.1:pep	G3DSA:3.10.110.10	Gene3D	3	137
SPAC1002.14	itt1	SPAC1002.14.1:pep	G3DSA:3.30.40.10	Gene3D	168	257
SPAC1002.14	itt1	SPAC1002.14.1:pep	PF01485	PFAM	246	308
SPAC1002.14	itt1	SPAC1002.14.1:pep	PF05773	PFAM	13	130
SPAC1002.14	itt1	SPAC1002.14.1:pep	PF14634	PFAM	173	209
SPAC1002.14	itt1	SPAC1002.14.1:pep	PS50089	PROFILE	174	208
SPAC1002.14	itt1	SPAC1002.14.1:pep	PS50908	PROFILE	16	135
SPAC1002.14	itt1	SPAC1002.14.1:pep	PS51873	PROFILE	170	420
SPAC1002.14	itt1	SPAC1002.14.1:pep	PTHR11685	PANTHER	151	413
SPAC1002.14	itt1	SPAC1002.14.1:pep	SM00591	SMART	16	135
SPAC1002.14	itt1	SPAC1002.14.1:pep	SM00647	SMART	246	308
SPAC1002.14	itt1	SPAC1002.14.1:pep	SM00647	SMART	337	416
SPAC1002.14	itt1	SPAC1002.14.1:pep	SSF54495	SUPERFAMILY	5	133
SPAC1002.14	itt1	SPAC1002.14.1:pep	SSF57850	SUPERFAMILY	172	248
SPAC1002.14	itt1	SPAC1002.14.1:pep	SSF57850	SUPERFAMILY	247	304
SPAC1002.14	itt1	SPAC1002.14.1:pep	SSF57850	SUPERFAMILY	356	411
SPAC1002.14	itt1	SPAC1002.14.1:pep	cd20341	CDD	257	310
SPAC1002.14	itt1	SPAC1002.14.1:pep	cd20354	CDD	353	418
SPAC1002.14	itt1	SPAC1002.14.1:pep	cd23134	CDD	168	228
SPAC1002.15c	med6	SPAC1002.15c.1:pep	G3DSA:3.10.450.580	Gene3D	7	144
SPAC1002.15c	med6	SPAC1002.15c.1:pep	PF04934	PFAM	14	150
SPAC1002.15c	med6	SPAC1002.15c.1:pep	PIRSF013286	PIRSF	6	163
SPAC1002.15c	med6	SPAC1002.15c.1:pep	PIRSF013286	PIRSF	152	216
SPAC1002.15c	med6	SPAC1002.15c.1:pep	PTHR13104	PANTHER	7	184
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	G3DSA:1.20.1250.20	Gene3D	52	251
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	G3DSA:1.20.1250.20	Gene3D	288	475
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	PF07690	PFAM	63	429
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	PS50850	PROFILE	59	469
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	PTHR43791	PANTHER	21	480
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	SSF103473	SUPERFAMILY	45	459
SPAC1002.16c	tna1	SPAC1002.16c.1:pep	cd17327	CDD	54	458
SPAC1002.17c	urg2	SPAC1002.17c.1:pep	G3DSA:3.40.50.2020	Gene3D	7	202
SPAC1002.17c	urg2	SPAC1002.17c.1:pep	PF14681	PFAM	62	201
SPAC1002.17c	urg2	SPAC1002.17c.1:pep	PTHR32315	PANTHER	65	171
SPAC1002.17c	urg2	SPAC1002.17c.1:pep	SSF53271	SUPERFAMILY	19	201
SPAC1002.17c	urg2	SPAC1002.17c.1:pep	cd06223	CDD	51	178
SPAC1002.18	urg3	SPAC1002.18.1:pep	PF07958	PFAM	9	399
SPAC1002.18	urg3	SPAC1002.18.1:pep	PTHR31687	PANTHER	3	399
SPAC1002.19	urg1	SPAC1002.19.1:pep	G3DSA:3.40.50.10990	Gene3D	242	400
SPAC1002.19	urg1	SPAC1002.19.1:pep	PF00925	PFAM	264	397
SPAC1002.19	urg1	SPAC1002.19.1:pep	PF12471	PFAM	33	223
SPAC1002.19	urg1	SPAC1002.19.1:pep	PTHR47259	PANTHER	4	439
SPAC1002.19	urg1	SPAC1002.19.1:pep	SSF142695	SUPERFAMILY	229	400
SPAC1002.19	urg1	SPAC1002.19.1:pep	cd00641	CDD	190	431
SPAC1006.01	psp3	SPAC1006.01.1:pep	G3DSA:3.30.70.80	Gene3D	77	161
SPAC1006.01	psp3	SPAC1006.01.1:pep	G3DSA:3.40.50.200	Gene3D	162	451
SPAC1006.01	psp3	SPAC1006.01.1:pep	PF00082	PFAM	196	429
SPAC1006.01	psp3	SPAC1006.01.1:pep	PF05922	PFAM	79	161
SPAC1006.01	psp3	SPAC1006.01.1:pep	PR00723	PRINTS	196	215
